,High,Low,Close,r_Close,rhat_Close,Order,Order_Price,Order_Success,Trade_Price,Transaction,Cash,Position,Balance
2016-01-04,46.04080990457287,44.957059328113424,45.14391326904297,-0.02453100512875543,-0.0008338839994648851,,,0,0.0,0.0,0.0,0.0,0.0
2016-01-05,45.03180083446978,44.62072272488603,44.770206451416016,-0.00831257583749975,-0.00025788237139478084,-1.0,45.14391326904297,0,0.0,0.0,0.0,0.0,0.0
2016-01-06,44.471239629174086,44.134901952501956,44.284385681152344,-0.010910736395080235,0.0003308221646595542,-1.0,44.770206451416016,0,0.0,0.0,0.0,0.0,0.0
2016-01-07,43.3501111221994,42.789549340446825,42.82691955566406,-0.03346528077042385,0.00019740218530402864,1.0,44.284385681152344,1,43.3501111221994,-43.3501111221994,-43.3501111221994,1.0,-0.5231915665353384
2016-01-08,43.23799569227221,42.49058001668469,42.90166091918945,0.0017436747942955774,-5.1929196965062245e-05,1.0,42.82691955566406,1,42.82691955566406,-42.82691955566406,-86.17703067786346,2.0,-0.37370883948455
2016-01-11,42.341105526833154,41.9300245625384,42.116878509521484,-0.01846196619056653,-0.00042316552327672694,-1.0,42.90166091918945,0,0.0,0.0,-86.17703067786346,2.0,-1.9432736588204875
2016-01-12,42.75218795140354,42.154255830990856,42.22899627685547,0.0026585255924618527,-0.0005626700128117015,-1.0,42.116878509521484,1,42.154255830990856,42.154255830990856,-44.0227748468726,1.0,-1.7937785700171318
2016-01-13,43.0511422958309,42.527953597502005,42.64006423950195,0.009687185759936722,-0.0005163949399047608,-1.0,42.22899627685547,1,42.527953597502005,42.527953597502005,-1.4948212493705952,0.0,-1.4948212493705952
2016-01-14,42.19161942275168,41.70579804749148,42.079505920410156,-0.01323345948597471,-0.0005635307938638325,-1.0,42.64006423950195,0,0.0,0.0,-1.4948212493705952,0.0,-1.4948212493705952
2016-01-15,42.228994481132474,41.85528656537024,41.93002700805664,-0.0035586216204343416,0.0007810496557458804,-1.0,42.079505920410156,1,42.079505920410156,42.079505920410156,40.58468467103956,-1.0,-1.3453423370170796
2016-01-18,40.846274444336444,40.50993676547139,40.622047424316406,-0.031691246082356093,0.0005292928466128598,1.0,41.93002700805664,1,40.846274444336444,-40.846274444336444,-0.26158977329688327,0.0,-0.26158977329688327
2016-01-19,40.77153304523611,40.13623072881584,40.69679260253906,0.0018383242861724298,0.0024312791981181392,1.0,40.622047424316406,1,40.622047424316406,-40.622047424316406,-40.88363719761329,1.0,-0.18684459507422702
2016-01-20,40.43519379378842,39.687777990937136,39.72515106201172,-0.02416476839942294,0.0010341614082490852,1.0,40.69679260253906,1,40.43519379378842,-40.43519379378842,-81.31883099140171,2.0,-1.8685288673782736
2016-01-21,39.76251428366491,38.6787609900396,38.79087448120117,-0.02379948992600495,0.0009071894129683937,1.0,39.72515106201172,1,39.72515106201172,-39.72515106201172,-121.04398205341343,3.0,-4.671358609809914
2016-01-22,39.6877694377875,38.902983584156615,39.50091552734375,0.018138824362551865,0.0019024854524764929,1.0,38.79087448120117,0,0.0,-0.0,-121.04398205341343,3.0,-2.54123547138218
2016-01-25,40.50993647620014,39.986744851831034,40.061485290527344,0.014091556652652246,-0.0006938448912405329,1.0,39.50091552734375,0,0.0,-0.0,-121.04398205341343,3.0,-0.8595261818313986
2016-01-26,39.23932854993855,38.64139649464866,38.71613693237305,-0.034158918076021116,-0.00045017615106898685,-1.0,40.061485290527344,0,0.0,0.0,-121.04398205341343,3.0,-4.895571256294289
2016-01-27,39.83726034596641,39.388812020208746,39.53829574584961,0.021013226663940263,0.0005712918326622207,-1.0,38.71613693237305,1,39.388812020208746,39.388812020208746,-81.65517003320468,2.0,-2.5785785415054647
2016-01-28,40.061491581005434,39.46355942405238,39.874637603759766,0.008470757970263837,-0.0005820155798435546,1.0,39.53829574584961,1,39.53829574584961,-39.53829574584961,-121.19346577905429,3.0,-1.569552967774996
2016-01-29,40.9957519290705,39.837258109918196,40.73415756225586,0.021326519860519654,0.0016119280515137786,-1.0,39.874637603759766,1,39.874637603759766,39.874637603759766,-81.31882817529453,2.0,0.14948694921719152
2016-02-01,41.10786972372937,40.69679159672509,40.846275329589844,0.0027486453294645525,-0.0013244423198337494,1.0,40.73415756225586,1,40.73415756225586,-40.73415756225586,-122.05298573755039,3.0,0.48584025121914465
2016-02-02,40.846268728755824,40.210963679538374,40.47256088256836,-0.009191402519608862,0.002535741806062372,-1.0,40.846275329589844,0,0.0,0.0,-122.05298573755039,3.0,-0.6353030898453085
2016-02-03,39.27669530545509,38.79087680075529,39.05247116088867,-0.03571807917466418,0.0010385186878072274,1.0,40.47256088256836,1,39.27669530545509,-39.27669530545509,-161.32968104300548,4.0,-5.119796399450792
2016-02-04,39.12722555701531,38.82826087461077,38.865631103515625,-0.004795815351010111,0.0018161888703354166,1.0,39.05247116088867,1,39.05247116088867,-39.05247116088867,-200.38215220389415,5.0,-6.053996686316026
2016-02-05,39.426191489938454,38.977743058955156,39.12722396850586,0.006708148988906843,0.0006990819154801205,1.0,38.865631103515625,0,0.0,-0.0,-200.38215220389415,5.0,-4.746032361364854
2016-02-11,37.29604921428277,36.92234131775154,36.9970817565918,-0.05597945180010884,-0.0001970534544378208,1.0,39.12722396850586,1,37.29604921428277,-37.29604921428277,-237.6782014181769,6.0,-15.69571087862613
2016-02-12,35.9880681048217,35.72647089178592,35.9506950378418,-0.028690620651334292,-0.0006988560989912223,-1.0,36.9970817565918,0,0.0,0.0,-237.6782014181769,6.0,-21.97403119112613
2016-02-15,37.6323881520848,36.997085799032185,37.557647705078125,0.04372860727963222,0.0018060795377367656,-1.0,35.9506950378418,1,36.997085799032185,36.997085799032185,-200.68111561914472,5.0,-12.892877093754095
2016-02-16,37.85661227998849,37.44553129961443,37.63238525390625,0.0019879649070637497,-0.002743888953736404,1.0,37.557647705078125,1,37.557647705078125,-37.557647705078125,-238.23876332422284,6.0,-12.444451800785345
2016-02-17,37.59501382080877,36.92234131775154,36.9970817565918,-0.017025951535361798,-0.0019337027280553105,-1.0,37.63238525390625,0,0.0,0.0,-238.23876332422284,6.0,-16.256272784672063
2016-02-18,38.23031715687086,37.81923620909592,38.080833435058594,0.028872058018274686,-0.0010845250073713334,-1.0,36.9970817565918,1,37.81923620909592,37.81923620909592,-200.41952711512693,5.0,-10.015359939833957
2016-02-19,37.6323881520848,37.25868021472084,37.557647705078125,-0.013834071389976763,0.001099418341308521,-1.0,38.080833435058594,0,0.0,0.0,-200.41952711512693,5.0,-12.6312885897363
2016-02-22,38.305057003915906,36.32440413544263,36.7354850769043,-0.0221338409722389,0.0008846749839418089,1.0,37.557647705078125,1,37.557647705078125,-37.557647705078125,-237.97717482020505,6.0,-17.56426435877927
2016-02-23,37.146563167201165,36.399147420783294,36.7354850769043,0.0,0.0015610492235544839,1.0,36.7354850769043,1,36.7354850769043,-36.7354850769043,-274.71265989710935,7.0,-17.56426435877927
2016-02-24,36.511261510209614,36.17492667358171,36.39915084838867,-0.009197737716688166,0.0024350650964704472,1.0,36.7354850769043,1,36.511261510209614,-36.511261510209614,-311.223921407319,8.0,-20.030714620209608
2016-02-25,35.95068886037794,35.614354124669404,35.68909454345703,-0.019700278884197026,0.0003522618136641009,1.0,36.39915084838867,1,35.95068886037794,-35.95068886037794,-347.17461026769695,9.0,-25.972759376583667
2016-02-26,37.2213083059248,36.54863575982587,37.034454345703125,0.037003510734939495,0.001256003477879842,1.0,35.68909454345703,0,0.0,-0.0,-347.17461026769695,9.0,-13.864521156368824
2016-02-29,37.52027383008956,36.884968687699754,37.109195709228516,0.0020161238025678094,0.0002223680360639909,1.0,37.034454345703125,1,37.034454345703125,-37.034454345703125,-384.2090646134001,10.0,-13.117107521114917
2016-03-01,37.48290827823358,36.69811930747764,37.408164978027344,0.008024193830844352,-0.002021050298234801,1.0,37.109195709228516,1,37.109195709228516,-37.109195709228516,-421.3182603226286,11.0,-9.828445564327808
2016-03-02,38.34242541977091,37.70712320562658,38.043460845947266,0.016840217150919153,-0.0016457835997013696,-1.0,37.408164978027344,1,37.70712320562658,37.70712320562658,-383.611137117002,10.0,-3.1765286575293317
2016-03-03,38.56753944866913,38.18147799862322,38.33590316772461,0.0076576639414616295,0.0014278945397724345,-1.0,38.043460845947266,1,38.18147799862322,38.18147799862322,-345.42965911837877,9.0,-0.4065306088572811
2016-03-04,38.87639019565323,38.33590647528893,38.79917907714844,0.01201221199379576,-0.0010531557776200895,1.0,38.33590316772461,0,0.0,-0.0,-345.42965911837877,9.0,3.762952575957172
2016-03-07,39.03081201055817,38.14287244270166,38.33590316772461,-0.01201221199379591,0.0004152164136457225,-1.0,38.79917907714844,1,38.79917907714844,38.79917907714844,-306.6304800412303,8.0,0.05674530056654703
2016-03-08,38.41311143981624,37.94983891217537,38.02705001831055,-0.008089127532408,0.001889291297464713,1.0,38.33590316772461,1,38.33590316772461,-38.33590316772461,-344.96638320895494,9.0,-2.7229330441600155
2016-03-09,38.99221226302098,38.14287812456694,38.64475631713867,0.016113345788893122,0.0008136661252339289,1.0,38.02705001831055,0,0.0,-0.0,-344.96638320895494,9.0,2.8364236452931095
2016-03-10,39.108026423406635,38.45172018511205,38.76057052612305,0.0029924115078193837,-0.0008618840946698004,1.0,38.64475631713867,1,38.64475631713867,-38.64475631713867,-383.6111395260936,10.0,3.9945657351368595
2016-03-11,39.069420109498225,38.45172233830201,38.83778381347656,0.001990076039462682,0.0004424334443590924,-1.0,38.76057052612305,1,38.76057052612305,38.76057052612305,-344.85056899997056,9.0,4.6894853213185
2016-03-14,39.378269438158306,38.992207973078315,39.14663314819336,0.007920837559781475,-0.0023067188550668608,1.0,38.83778381347656,0,0.0,-0.0,-344.85056899997056,9.0,7.469129333769672
2016-03-15,38.99220680917372,38.68335646816273,38.76057052612305,-0.009910913599244273,-0.0005215623692405868,-1.0,39.14663314819336,0,0.0,0.0,-344.85056899997056,9.0,3.9945657351368595
2016-03-16,38.915003598605175,38.45172799301717,38.490333557128906,-0.0069963730398917914,-0.0003608116562298695,-1.0,38.76057052612305,1,38.76057052612305,38.76057052612305,-306.0899984738475,8.0,1.8326699831837345
2016-03-17,39.146636400432136,38.760574903278794,38.95360565185547,0.01196420599456036,-0.001000164250188454,-1.0,38.490333557128906,1,38.760574903278794,38.760574903278794,-267.32942357056874,7.0,5.345815992419546
2016-03-18,38.87638193950988,38.52892903461121,38.60614013671875,-0.008960004605322255,-0.0002806931662632542,-1.0,38.95360565185547,0,0.0,0.0,-267.32942357056874,7.0,2.9135573864625144
2016-03-21,39.108028613347926,38.72196713817338,38.83778381347656,0.005982247690116429,-0.0004138466390728797,-1.0,38.60614013671875,1,38.72196713817338,38.72196713817338,-228.60745643239534,6.0,4.419246448464037
2016-03-22,38.992201538085936,38.56753458566498,38.60614013671875,-0.005982247690116402,-0.0002848962534436177,-1.0,38.83778381347656,1,38.83778381347656,38.83778381347656,-189.76967261891878,5.0,3.2610280646749743
2016-03-23,38.29730008150077,37.9884526450431,38.220088958740234,-0.010050068366158625,0.0006122095132346022,-1.0,38.60614013671875,0,0.0,0.0,-189.76967261891878,5.0,1.3307721747823962
2016-03-24,37.94984840657368,37.56378688848204,37.679603576660156,-0.014242337490097587,-0.00083181315985144,1.0,38.220088958740234,1,37.94984840657368,-37.94984840657368,-227.71952102549244,6.0,-1.641899565531503
2016-03-29,37.60238342489135,37.177716446013456,37.525169372558594,-0.004107037761704182,4.239339043018726e-05,-1.0,37.679603576660156,0,0.0,0.0,-227.71952102549244,6.0,-2.568504790140878
2016-03-30,38.027048595510884,37.332136884635126,37.872623443603516,0.009216623395391298,5.5888002348944096e-05,1.0,37.525169372558594,1,37.525169372558594,-37.525169372558594,-265.24469039805103,7.0,-0.13632629282642483
2016-03-31,37.718203384180185,37.332141924995476,37.370750427246094,-0.013340190194071627,-0.0007431680613479866,1.0,37.872623443603516,1,37.718203384180185,-37.718203384180185,-302.9628937822312,8.0,-3.9968903642624696
2016-04-01,37.447963393226864,36.94608229329583,37.02329635620117,-0.00934097854484631,8.571729667137168e-05,-1.0,37.370750427246094,1,37.370750427246094,37.370750427246094,-265.5921433549851,7.0,-6.429068861576923
2016-04-05,36.67583669570678,36.01953342773909,36.096744537353516,-0.02534466350652892,0.0006298065393221388,1.0,37.02329635620117,1,36.67583669570678,-36.67583669570678,-302.2679800506919,8.0,-13.494023751863779
2016-04-06,35.63347485970257,35.28601894761428,35.47904968261719,-0.017260309762772683,2.6897851874237136e-05,1.0,36.096744537353516,1,35.63347485970257,-35.63347485970257,-337.9014549103945,9.0,-18.59000776683979
2016-04-07,35.59487180199104,35.24741878216156,35.36323547363281,-0.003269637954371825,0.0006337518628862367,1.0,35.47904968261719,1,35.47904968261719,-35.47904968261719,-373.38050459301166,10.0,-19.74814985668354
2016-04-08,35.51765823364258,34.784140789734245,35.51765823364258,0.004357253309066585,-0.00024089331794393382,1.0,35.36323547363281,1,35.36323547363281,-35.36323547363281,-408.7437400666445,11.0,-18.049499496576118
