,High,Phat_High,Low,Phat_Low,Close,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-01-04,46.04080990457287,46.294894017968325,44.957059328113424,46.078323148587664,45.14391326904297,,,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-05,45.03180083446978,46.02422200997089,44.62072272488603,44.867878729801085,44.770206451416016,46.294894017968325,46.078323148587664,0,1,0.0,45.03180083446978,-45.03180083446978,-45.03180083446978,1,-0.2615943830537617
2016-01-06,44.471239629174086,44.9845675951048,44.134901952501956,44.63431440269727,44.284385681152344,46.02422200997089,44.867878729801085,0,1,0.0,44.471239629174086,-44.471239629174086,-89.50304046364386,2,-0.9342691013391686
2016-01-07,43.3501111221994,44.38222344700636,42.789549340446825,44.104274074147895,42.82691955566406,44.9845675951048,44.63431440269727,0,1,0.0,43.3501111221994,-43.3501111221994,-132.85315158584325,3,-4.372392918851062
2016-01-08,43.23799569227221,43.31164447360809,42.49058001668469,42.69213920691852,42.90166091918945,44.38222344700636,44.104274074147895,0,1,0.0,43.23799569227221,-43.23799569227221,-176.09114727811544,4,-4.4845036013576305
2016-01-11,42.341105526833154,43.137301514011156,41.9300245625384,42.513145497025626,42.116878509521484,43.31164447360809,42.69213920691852,0,1,0.0,42.341105526833154,-42.341105526833154,-218.4322528049486,5,-7.847860257341182
2016-01-12,42.75218795140354,42.33778914850119,42.154255830990856,41.89081782440247,42.22899627685547,43.137301514011156,42.513145497025626,0,1,0.0,42.513145497025626,-42.513145497025626,-260.94539830197425,6,-7.571420640841438
2016-01-13,43.0511422958309,42.63763438882203,42.527953597502005,42.19201675000645,42.64006423950195,42.33778914850119,41.89081782440247,1,0,42.527953597502005,0.0,42.527953597502005,-218.41744470447225,5,-5.21712350696248
2016-01-14,42.19161942275168,43.124295516812715,41.70579804749148,42.5485503587929,42.079505920410156,42.63763438882203,42.19201675000645,0,1,0.0,42.19161942275168,-42.19161942275168,-260.6090641272239,6,-8.13202860476298
2016-01-15,42.228994481132474,42.068157489047586,41.85528656537024,41.61943976836737,41.93002700805664,43.124295516812715,42.5485503587929,0,1,0.0,42.228994481132474,-42.228994481132474,-302.8380586083564,7,-9.327869551959907
2016-01-18,40.846274444336444,42.193726216873124,40.50993676547139,41.89650540380666,40.622047424316406,42.068157489047586,41.61943976836737,0,1,0.0,40.846274444336444,-40.846274444336444,-343.68433305269286,8,-18.707953658161614
2016-01-19,40.77153304523611,40.75848271596077,40.13623072881584,40.38912825171764,40.69679260253906,42.193726216873124,41.89650540380666,0,1,0.0,40.77153304523611,-40.77153304523611,-384.45586609792895,9,-18.184732675077385
2016-01-20,40.43519379378842,40.66598743323303,39.687777990937136,40.150853811498344,39.72515106201172,40.75848271596077,40.38912825171764,0,1,0.0,40.38912825171764,-40.38912825171764,-424.8449943496466,10,-27.593483729529396
2016-01-21,39.76251428366491,40.511284694317524,38.6787609900396,39.660278677660514,38.79087448120117,40.66598743323303,40.150853811498344,0,1,0.0,39.76251428366491,-39.76251428366491,-464.6075086333115,11,-37.90788934009862
2016-01-22,39.6877694377875,39.62413466043654,38.902983584156615,38.606419841799735,39.50091552734375,40.511284694317524,39.660278677660514,0,1,0.0,39.660278677660514,-39.660278677660514,-504.26778731097204,12,-30.25680098284704
2016-01-25,40.50993647620014,39.693057972968845,39.986744851831034,38.95611567303756,40.061485290527344,39.62413466043654,38.606419841799735,1,0,39.986744851831034,0.0,39.986744851831034,-464.281042459141,11,-23.60470426334024
2016-01-26,39.23932854993855,40.4664737314156,38.64139649464866,40.068823808669364,38.71613693237305,39.693057972968845,38.95611567303756,0,1,0.0,38.95611567303756,-38.95611567303756,-503.2371581321786,12,-38.64351494370203
2016-01-27,39.83726034596641,39.23251749487926,39.388812020208746,38.486155617278214,39.53829574584961,40.4664737314156,40.068823808669364,0,1,0.0,39.83726034596641,-39.83726034596641,-543.074418478145,13,-29.076573782100127
2016-01-28,40.061491581005434,39.74048143698621,39.46355942405238,39.49911515335089,39.874637603759766,39.23251749487926,38.486155617278214,1,0,39.46355942405238,0.0,39.46355942405238,-503.61085905409266,12,-25.11520780897547
2016-01-29,40.9957519290705,40.133775456290785,39.837258109918196,39.43835699326374,40.73415756225586,39.74048143698621,39.49911515335089,1,0,39.837258109918196,0.0,39.837258109918196,-463.77360094417446,11,-15.697867759360008
2016-02-01,41.10786972372937,40.95446431191768,40.69679159672509,39.86265333469478,40.846275329589844,40.133775456290785,39.43835699326374,1,0,40.69679159672509,0.0,40.69679159672509,-423.0768093474494,10,-14.61405605155096
2016-02-02,40.846268728755824,41.28394881518057,40.210963679538374,40.752371497936636,40.47256088256836,40.95446431191768,39.86265333469478,0,0,0.0,0.0,0.0,-423.0768093474494,10,-18.351200521765804
2016-02-03,39.27669530545509,40.70457922657629,38.79087680075529,40.13561560131282,39.05247116088867,41.28394881518057,40.752371497936636,0,1,0.0,39.27669530545509,-39.27669530545509,-462.35350465290446,11,-32.77632188312907
2016-02-04,39.12722555701531,39.245119340951824,38.82826087461077,38.68810498544734,38.865631103515625,40.70457922657629,40.13561560131282,0,1,0.0,39.12722555701531,-39.12722555701531,-501.4807302099198,12,-35.093156967732284
2016-02-05,39.426191489938454,39.008209749535844,38.977743058955156,38.88107487676076,39.12722396850586,39.245119340951824,38.68810498544734,1,0,39.245119340951824,0.0,39.245119340951824,-462.23561086896797,11,-31.836147215403514
2016-02-11,37.29604921428277,39.534514802356085,36.92234131775154,38.98553190127555,36.9970817565918,39.008209749535844,38.88107487676076,0,1,0.0,37.29604921428277,-37.29604921428277,-499.53166008325076,12,-55.566679004149194
2016-02-12,35.9880681048217,37.21130601484699,35.72647089178592,36.746266065400626,35.9506950378418,39.534514802356085,38.98553190127555,0,1,0.0,35.9880681048217,-35.9880681048217,-535.5197281880725,13,-68.1606926961291
2016-02-15,37.6323881520848,35.81641676532697,36.997085799032185,35.69659875946072,37.557647705078125,37.21130601484699,36.746266065400626,1,0,37.21130601484699,0.0,37.21130601484699,-498.3084221732255,12,-47.616649712287995
2016-02-16,37.85661227998849,37.59907616515318,37.44553129961443,37.15160922588774,37.63238525390625,35.81641676532697,35.69659875946072,1,0,37.44553129961443,0.0,37.44553129961443,-460.86289087361104,11,-46.906653080642286
2016-02-17,37.59501382080877,37.93905869665537,36.92234131775154,37.42713360538661,36.9970817565918,37.59907616515318,37.15160922588774,0,1,0.0,37.15160922588774,-37.15160922588774,-498.0145000994988,12,-54.04951902039721
2016-02-18,38.23031715687086,37.59587634145851,37.81923620909592,36.85668628638443,38.080833435058594,37.93905869665537,37.42713360538661,1,0,37.93905869665537,0.0,37.93905869665537,-460.0754414028434,11,-41.18627361719888
2016-02-19,37.6323881520848,38.189983005128134,37.25868021472084,37.913680496140984,37.557647705078125,37.59587634145851,36.85668628638443,1,0,37.59587634145851,0.0,37.59587634145851,-422.4795650613849,10,-46.90308801060365
2016-02-22,38.305057003915906,37.507053186770904,36.32440413544263,37.172626313161494,36.7354850769043,38.189983005128134,37.913680496140984,1,1,38.189983005128134,37.913680496140984,0.2763025089871505,-422.20326255239775,10,-54.84841178335478
2016-02-23,37.146563167201165,38.36383577187035,36.399147420783294,36.26543831652896,36.7354850769043,37.507053186770904,37.172626313161494,0,1,0.0,37.146563167201165,-37.146563167201165,-459.3498257195989,11,-55.25948987365166
2016-02-24,36.511261510209614,37.20224309637437,36.17492667358171,36.43955463848662,36.39915084838867,38.36383577187035,36.26543831652896,0,1,0.0,36.26543831652896,-36.26543831652896,-495.6152640361279,12,-58.82545385546382
2016-02-25,35.95068886037794,36.334133858215004,35.614354124669404,36.14940341539485,35.68909454345703,37.20224309637437,36.43955463848662,0,1,0.0,35.95068886037794,-35.95068886037794,-531.5659528965058,13,-67.60772383156439
2016-02-26,37.2213083059248,35.99933935524628,36.54863575982587,35.572833887334355,37.034454345703125,36.334133858215004,36.14940341539485,1,0,36.54863575982587,0.0,36.54863575982587,-495.01731713667994,12,-50.603864988242435
2016-02-29,37.52027383008956,37.15987603379283,36.884968687699754,36.64747269192318,37.109195709228516,35.99933935524628,35.572833887334355,1,0,36.884968687699754,0.0,36.884968687699754,-458.13234844898017,11,-49.931195647466495
2016-03-01,37.48290827823358,37.70120749053471,36.69811930747764,36.87039853765336,37.408164978027344,37.15987603379283,36.64747269192318,1,0,37.15987603379283,0.0,37.15987603379283,-420.9724724151873,10,-46.89082263491389
2016-03-02,38.34242541977091,37.3850082969733,37.70712320562658,36.66501895203784,38.043460845947266,37.70120749053471,36.87039853765336,1,0,37.70712320562658,0.0,37.70712320562658,-383.2653492095607,9,-40.874201596035334
2016-03-03,38.56753944866913,38.377385453943305,38.18147799862322,37.79692912011395,38.33590316772461,37.3850082969733,36.66501895203784,1,0,38.18147799862322,0.0,38.18147799862322,-345.0838712109375,8,-38.39664586914063
2016-03-04,38.87639019565323,38.55043318940611,38.33590647528893,38.17559005037047,38.79917907714844,38.377385453943305,37.79692912011395,1,0,38.377385453943305,0.0,38.377385453943305,-306.7064857569942,7,-35.112232216955135
2016-03-07,39.03081201055817,38.941134478737744,38.14287244270166,38.32585995272178,38.33590316772461,38.55043318940611,38.17559005037047,1,1,38.55043318940611,38.17559005037047,0.37484313903564015,-306.33164261795855,7,-37.980320443886285
2016-03-08,38.41311143981624,39.09116572923798,37.94983891217537,38.116972006664064,38.02705001831055,38.941134478737744,38.32585995272178,0,1,0.0,38.32585995272178,-38.32585995272178,-344.6575025706803,8,-40.44110242419595
2016-03-09,38.99221226302098,38.35544750643033,38.14287812456694,37.93803730454823,38.64475631713867,39.09116572923798,38.116972006664064,0,0,0.0,0.0,0.0,-344.6575025706803,8,-35.49945203357095
2016-03-10,39.108026423406635,39.021658538628444,38.45172018511205,38.16355841165664,38.76057052612305,38.35544750643033,37.93803730454823,1,0,38.45172018511205,0.0,38.45172018511205,-306.2057823855683,7,-34.881788702706956
2016-03-11,39.069420109498225,39.17542300947101,38.45172233830201,38.466305781403555,38.83778381347656,39.021658538628444,38.16355841165664,1,0,39.021658538628444,0.0,39.021658538628444,-267.1841238469398,6,-34.15742096608045
2016-03-14,39.378269438158306,39.048422415058994,38.992207973078315,38.4355919173826,39.14663314819336,39.17542300947101,38.466305781403555,1,0,39.17542300947101,0.0,39.17542300947101,-228.0087008374688,5,-32.27553509650201
2016-03-15,38.99220680917372,39.42963581478169,38.68335646816273,39.03452670765471,38.76057052612305,39.048422415058994,38.4355919173826,0,0,0.0,0.0,0.0,-228.0087008374688,5,-34.205848206853574
2016-03-16,38.915003598605175,38.93739242515759,38.45172799301717,38.63218413616635,38.490333557128906,39.42963581478169,39.03452670765471,0,1,0.0,38.915003598605175,-38.915003598605175,-266.923704436074,6,-35.98170309330055
2016-03-17,39.146636400432136,38.90451209852796,38.760574903278794,38.44148210709428,38.95360565185547,38.93739242515759,38.63218413616635,1,0,38.93739242515759,0.0,38.93739242515759,-227.9863120109164,5,-33.21828375163906
2016-03-18,38.87638193950988,39.17761256403465,38.52892903461121,38.79271812343081,38.60614013671875,38.90451209852796,38.44148210709428,0,0,0.0,0.0,0.0,-227.9863120109164,5,-34.95561132732266
2016-03-21,39.108028613347926,38.85587383502569,38.72196713817338,38.493593867294805,38.83778381347656,39.17761256403465,38.79271812343081,0,1,0.0,38.79271812343081,-38.79271812343081,-266.77903013434724,6,-33.75232725348786
2016-03-22,38.992201538085936,39.119712592862754,38.56753458566498,38.74427189657261,38.60614013671875,38.85587383502569,38.493593867294805,1,0,38.85587383502569,0.0,38.85587383502569,-227.92315629932153,5,-34.89245561572778
2016-03-23,38.29730008150077,38.99334137872076,37.9884526450431,38.5433799493817,38.220088958740234,39.119712592862754,38.74427189657261,0,1,0.0,38.29730008150077,-38.29730008150077,-266.2204563808223,6,-36.89992262838092
2016-03-24,37.94984840657368,38.23163610235597,37.56378688848204,37.94312988030514,37.679603576660156,38.99334137872076,38.5433799493817,0,1,0.0,37.94984840657368,-37.94984840657368,-304.170304787396,7,-40.4130797507749
2016-03-29,37.60238342489135,37.92263085165686,37.177716446013456,37.548108233779885,37.525169372558594,38.23163610235597,37.94312988030514,0,1,0.0,37.60238342489135,-37.60238342489135,-341.77268821228733,8,-41.571333231818585
2016-03-30,38.027048595510884,37.558728778835295,37.332136884635126,37.15893867253565,37.872623443603516,37.92263085165686,37.548108233779885,1,1,37.92263085165686,37.548108233779885,0.37452261787697694,-341.39816559441033,8,-38.417178045582205
2016-03-31,37.718203384180185,38.02983706827153,37.332141924995476,37.357291232774045,37.370750427246094,37.558728778835295,37.15893867253565,1,0,37.558728778835295,0.0,37.558728778835295,-303.839436815575,7,-42.24418382485237
2016-04-01,37.447963393226864,37.750413165324275,36.94608229329583,37.32224962249607,37.02329635620117,38.02983706827153,37.357291232774045,0,1,0.0,37.357291232774045,-37.357291232774045,-341.1967280483491,8,-45.01035719873971
2016-04-05,36.67583669570678,37.36072745731816,36.01953342773909,36.910260562592214,36.096744537353516,37.750413165324275,37.32224962249607,0,1,0.0,36.67583669570678,-36.67583669570678,-377.87256474405586,9,-53.001863907874224
2016-04-06,35.63347485970257,36.63770596382705,35.28601894761428,35.954195492507715,35.47904968261719,37.36072745731816,36.910260562592214,0,1,0.0,35.63347485970257,-35.63347485970257,-413.50603960375844,10,-58.71554277758656
2016-04-07,35.59487180199104,35.50670645270178,35.24741878216156,35.25728753138911,35.36323547363281,36.63770596382705,35.954195492507715,0,1,0.0,35.59487180199104,-35.59487180199104,-449.10091140574946,11,-60.10532119578852
2016-04-08,35.51765823364258,35.57774664999083,34.784140789734245,35.26984308093546,35.51765823364258,35.50670645270178,35.25728753138911,1,1,35.50670645270178,35.25728753138911,0.2494189213126674,-448.8514924844368,11,-58.15725191436843
2016-04-11,35.903713450845274,35.51461190689439,35.32462129841229,34.74287371311496,35.67207717895508,35.57774664999083,35.26984308093546,1,0,35.57774664999083,0.0,35.57774664999083,-413.27374583444595,10,-56.552974044895166
2016-04-12,35.672080417620094,35.89498287433689,35.44044412469966,35.38567529063852,35.47904968261719,35.51461190689439,34.74287371311496,1,0,35.51461190689439,0.0,35.51461190689439,-377.75913392755155,9,-58.44768678399686
2016-04-13,37.13910756722415,35.675445990689646,36.05813735435778,35.42429691439512,37.100502014160156,35.89498287433689,35.38567529063852,1,0,36.05813735435778,0.0,36.05813735435778,-341.7009965731938,8,-44.89698045991253
2016-04-14,38.220091683524,37.09743325693327,37.756819023102125,36.102269538540945,37.83403015136719,35.675445990689646,35.42429691439512,1,0,37.756819023102125,0.0,37.756819023102125,-303.94417755009164,7,-39.105966490521325
2016-04-15,38.142872626967204,38.38173978234082,37.91123339948853,37.87537518100459,38.06565856933594,37.09743325693327,36.102269538540945,1,0,37.91123339948853,0.0,37.91123339948853,-266.0329441506031,6,-37.638992734587475
2016-04-18,37.91123828358664,38.12693833626172,37.370754537613,37.8510104744825,37.7954216003418,38.38173978234082,37.87537518100459,0,1,0.0,37.87537518100459,-37.87537518100459,-303.9083193316077,7,-39.34036812921511
2016-04-19,39.22383962268196,37.93054523800346,38.22008052130638,37.31530978091604,39.18523406982422,38.12693833626172,37.8510104744825,1,0,38.22008052130638,0.0,38.22008052130638,-265.6882388103013,6,-30.576834391355987
2016-04-20,39.26244681504723,39.21819656833832,38.683354661755,38.311903065316024,39.10802459716797,37.93054523800346,37.31530978091604,1,0,38.683354661755,0.0,38.683354661755,-227.0048841485463,5,-31.464761162706452
2016-04-21,40.84530258178711,39.40798068006969,39.880148956937845,38.68426483718216,40.84530258178711,39.21819656833832,38.311903065316024,1,0,39.880148956937845,0.0,39.880148956937845,-187.12473519160847,4,-23.743524864460028
2016-04-22,40.497844919448205,40.9334973188399,40.1117834863656,39.96158472694269,40.26620864868164,39.40798068006969,38.68426483718216,1,0,40.1117834863656,0.0,40.1117834863656,-147.01295170524287,3,-26.214325759197948
2016-04-25,40.30481543391233,40.62700678462445,39.687117711197196,40.079614890799334,39.72572326660156,40.9334973188399,39.96158472694269,0,1,0.0,39.96158472694269,-39.96158472694269,-186.97453643218557,4,-28.071643365779323
2016-04-26,40.38202367399782,40.15279751455046,39.416870130425146,39.63857330797402,40.34341812133789,40.62700678462445,40.079614890799334,0,1,0.0,40.079614890799334,-40.079614890799334,-227.05415132298492,5,-25.33706071629547
2016-04-27,41.07694212502722,40.51062749690562,40.53645546310278,39.40751867741888,40.65227508544922,40.15279751455046,39.63857330797402,1,0,40.53645546310278,0.0,40.53645546310278,-186.51769585988214,4,-23.908595518085264
2016-04-28,41.269970854175995,41.04787979545994,40.18899758300467,40.64170827800615,40.30481719970703,40.51062749690562,39.40751867741888,1,0,40.51062749690562,0.0,40.51062749690562,-146.00706836297653,3,-25.092616763855432
2016-04-29,40.304818220407874,41.42886282610637,39.84154268728141,40.11090455643862,39.995967864990234,41.04787979545994,40.64170827800615,0,1,0.0,40.304818220407874,-40.304818220407874,-186.3118865833844,4,-26.328015123423455
