,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-01-04,46.04080990457287,47.2524701816283,45.356723233660695,44.957059328113424,47.062342406138995,45.11487859789804,45.14391326904297,False,,,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-05,45.03180083446978,46.94524034596505,45.12127312615093,44.62072272488603,46.022129707527206,43.74257676699558,44.770206451416016,False,45.356723233660695,47.062342406138995,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-06,44.471239629174086,46.04621997079288,43.9473929239388,44.134901952501956,45.73981337953108,43.55553455516203,44.284385681152344,False,45.12127312615093,46.022129707527206,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-07,43.3501111221994,45.430951529850454,43.35770420317422,42.789549340446825,45.19284313483458,43.04192559436931,42.82691955566406,False,43.9473929239388,45.73981337953108,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-08,43.23799569227221,44.4878958033446,42.16649300071405,42.49058001668469,43.98773014771683,41.43470790473402,42.90166091918945,False,43.35770420317422,45.19284313483458,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-11,42.341105526833154,44.24293211239123,42.05930061740964,41.9300245625384,43.743657193711286,41.317248168063614,42.116878509521484,False,42.16649300071405,43.98773014771683,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-12,42.75218795140354,43.482962472803386,41.222775267532995,42.154255830990856,43.099045793815264,40.71646101847332,42.22899627685547,False,42.05930061740964,43.743657193711286,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-13,43.0511422958309,43.77288321855094,41.531828214240285,42.527953597502005,43.36016871820546,41.05533557772789,42.64006423950195,False,41.222775267532995,43.099045793815264,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-14,42.19161942275168,44.245621347980126,42.031387675524016,41.70579804749148,43.68909111901318,41.43778438198893,42.079505920410156,False,41.531828214240285,43.36016871820546,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-15,42.228994481132474,43.26165860290943,40.907582641879856,41.85528656537024,42.80476512765286,40.46693776889183,41.93002700805664,False,42.031387675524016,43.68909111901318,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-01-18,40.846274444336444,43.328667224915904,41.08851358900532,40.50993676547139,43.04027167407192,40.78313395286092,40.622047424316406,False,40.907582641879856,42.80476512765286,0,0,0.0,0.0,0.0,0.0,0,0.0
